Mode,f PREM,f,Q PREM,Q,w,r
0S3,468.56,468.29+/-0.20,417,327+/-70,13.05,1
0S4,647.08,646.86+/-0.11,373,408+/-38,9.54,1
0S5,840.44,840.02+/-0.08,355,376+/-33,7.23,1.02
0S6,1038.23,1037.55+/-0.08,347,356+/-8,5.93,1.16
0S7,1231.81,1231.04+/-0.09,342,338+/-8,5.18,1.46
0S8,1413.53,1412.74+/-0.09,337,332+/-11,4.59,1.73
0S9,1578.3,1577.02+/-0.12,332,332+/-10,3.89,1.53
0S10,1726.49,1724.55+/-0.13,327,281+/-7,4.05,1.17
1S2,679.86,680.34+/-0.21,310,377+/-97,11.43,1
1S3,939.83,940.02+/-0.05,282,316+/-11,14.89,1
1S4,1172.85,1172.83+/-0.10,271,291+/-22,18.33,1
1S5,1370.27,1370.04+/-0.13,291,314+/-29,19.77,1
1S6,1522.04,1521.53+/-0.28,345,429+/-51,16.59,1.03
1S7,1655.52,1654.49+/-0.25,372,415+/-36,14.19,1.08
1S8,1799.31,1798.00+/-0.24,379,456+/-37,14.72,1.19
1S9,1963.76,1962.11+/-0.38,380,388+/-40,15.8,1.28
1S10,2148.45,2146.84+/-0.66,378,371+/-45,15.94,1.29
2S3*,1242.19,1243.03+/-0.06,415,387+/-14,8.3,1.62
2S4,1379.19,1379.74+/-0.20,380,388+/-45,5.16,1.32
2S5,1514.93,1515.79+/-0.92,302,336+/-77,5.86,1.53
2S6,1680.84,1681.34+/-0.20,237,237+/-8,9.68,1.33
2S8,2049.21,2050.11+/-0.19,197,212+/-3,15.91,1.25
3S1*,943.94,944.44+/-0.08,819,814+/-54,3.21,1
3S2*,1106.21,1106.30+/-0.11,366,312+/-25,10.25,1.58
3S8*,2819.64,2819.90+/-0.41,263,247+/-13,10.81,2.12
4S1,1412.63,1411.45+/-0.15,355,369+/-17,8.68,1.01
4S2,1722.3,1721.56+/-0.05,434,495+/-19,6.02,1.03
4S3,2048.96,2048.35+/-0.06,480,547+/-12,6.82,1.12
4S4,2279.6,2278.57+/-0.28,290,278+/-22,7.33,1.24
5S3*,2169.66,2169.18+/-0.27,292,311+/-31,7.27,1.27
5S4,2379.52,2379.38+/-0.06,489,526+/-26,7.64,1.12
5S5,2703.35,2703.54+/-0.12,502,571+/-33,9.39,1.14
5S6,3010.69,3011.27+/-0.15,506,565+/-31,11.19,1.19
5S7,3290.76,3291.45+/-0.10,492,542+/-34,12.68,1.26
5S8,3525.65,3525.93+/-0.18,418,460+/-34,13.2,1.4
5S12,4695.98,4695.75+/-0.30,385,417+/-16,22.71,1.71
6S3*,2821.72,2821.91+/-0.13,426,451+/-29,11.46,2.98
6S10,4210.76,4211.27+/-0.17,354,375+/-5,19.78,1.64
7S4*,3413.22,3411.22+/-0.28,333,277+/-32,11.59,1.73
7S5*,3659.75,3657.73+/-0.08,477,491+/-32,9.1,1.67
7S6,3958.73,3956.81+/-0.11,504,667+/-84,10.45,1.67
7S7,4237.86,4233.99+/-0.15,415,462+/-8,12.03,1.75
8S1*,2873.36,2872.62+/-0.06,929,984+/-54,5.75,1.41
8S5*,4166.2,4165.38+/-0.08,611,690+/-63,14.05,2.15
8S7,4650.44,4645.15+/-0.15,351,375+/-11,17.66,1.95
9S3*,3554.98,3557.08+/-0.18,777,625+/-62,11.89,2.14
9S14,6768.24,6763.73+/-0.46,484,469+/-6,24.14,1.74
11S4*,4766.87,4766.11+/-0.03,701,810+/-19,14.35,2.08
11S5*,5074.41,5072.83+/-0.10,665,661+/-52,13.39,1.79
12S8,6137.16,6132.17+/-0.18,567,562+/-16,16.06,1.55
12S12,7455.08,7448.99+/-0.43,570,456+/-10,22.33,1.78
13S1*,4495.73,4494.83+/-0.33,735,648+/-73,14.72,2.3
13S2*,4845.26,4845.72+/-0.11,878,891+/-18,16.92,2.54
13S3*,5193.82,5193.54+/-0.07,908,970+/-34,12.63,1.69
16S5*,6836.4,6830.57+/-0.08,581,593+/-27,25.61,2.42
16S7*,7474.13,7472.18+/-0.34,800,452+/-13,18.56,1.58
17S1*,6129.05,6123.83+/-0.88,716,597+/-47,7.14,0.89
17S12,9151.29,9145.47+/-1.99,462,414+/-58,29.49,2.01
17S13,9435.95,9428.13+/-0.29,554,553+/-10,28.44,1.91
18S3*,6891.92,6886.27+/-0.10,851,865+/-85,19.69,2
18S4*,7240.99,7238.49+/-0.08,943,1003+/-71,19.77,1.83
21S6*,8850.77,8849.46+/-0.34,740,575+/-74,26.46,1.94
21S7*,9173.79,9172.14+/-0.50,800,658+/-98,27.74,1.97
21S8*,9496.96,9495.01+/-0.47,667,573+/-44,29.09,1.99
23S4*,8941.57,8937.42+/-0.21,809,904+/-100,24.16,1.88
23S5*,9289.58,9290.07+/-0.20,899,934+/-79,24.4,1.78
27S1*,9485.85,9493.79+/-0.50,648,818+/-84,28.87,2.35